epoch,avg_d_loss,avg_g_loss,avg_d_real_prob,avg_d_fake_prob
1,0.7011526251195842,2.4682696907438784,0.7492673065608892,0.15204726586801906
2,0.9712230282970983,1.484918059192152,0.6254709608789183,0.27153462688956
3,0.9650655647373607,1.5114473033155131,0.6317860778962445,0.26539485616625375
4,1.076025592847767,1.3495605254275167,0.5949323998175116,0.3031919617046658
5,1.1255189880856082,1.2567924401189527,0.575298057980517,0.3230140237058075
6,1.1449252514757662,1.2198811566982515,0.5667344878754045,0.3312805182595029
7,1.142394809004588,1.2171255227846978,0.5658111167896507,0.3326023724089321
8,1.1433390818345242,1.217441572720169,0.5666761508482134,0.33188263785380584
9,1.1418882014914455,1.2184739692343607,0.5664719543141178,0.3315198641174879
10,1.1404537069491851,1.2346661135426953,0.5671045189866653,0.331439567108949
11,1.1288799444834392,1.25326390322457,0.5711787174909543,0.32658696992911845
12,1.1211510759133558,1.2753293718028271,0.5743886634834812,0.32384483213735443
13,1.1153837614334547,1.2823123362583992,0.5772417525195668,0.321350006498078
14,1.1057764987150829,1.3003248918769705,0.581246142140311,0.3169067414939149
15,1.0974299809616854,1.3165002327698927,0.5836462211023029,0.31465123046157706
16,1.0949959072292361,1.3225813580629153,0.5852109362554346,0.31222642111217874
17,1.0818230165885045,1.3424590589144292,0.5901232909443032,0.30825395027223307
18,1.0842347418905323,1.350672965375786,0.5907851998877321,0.30719296822053754
19,1.0715146713022492,1.3644567585399008,0.5952946789499022,0.30275069657936055
20,1.0745670184110985,1.387762581818124,0.5965385021816971,0.30173960550982726
21,1.063349702546739,1.4029337274722564,0.5996609353738972,0.2979804885565725
22,1.0599346513676846,1.4119945556944251,0.601588118980583,0.29680368477781105
23,1.0520208369717639,1.4161081883387687,0.6045434495959526,0.293931159692315
24,1.0506893361990268,1.4397900747692483,0.6058918129429858,0.2917512461192842
25,1.0426720005070043,1.4458272843024669,0.6076806344282932,0.29033104360549367
26,1.0378234838573341,1.451017745030232,0.6109059993655254,0.28736234144267875
27,1.0411437142353792,1.4743208729813242,0.6110104516021206,0.2865301503553095
28,1.0294775876224551,1.448485207863343,0.6145672279800105,0.28360049803860676
29,1.035777226727233,1.475130094931676,0.6141895402191032,0.2840698628375928
30,1.0147380392011414,1.4899288531806734,0.6193625937160264,0.27859478402468896
31,1.0253287004864113,1.4932724883159,0.6185952884773923,0.27950322242756176
32,1.0299187120464113,1.4893165871373608,0.6170335796972116,0.2808859090074005
33,1.0141221101467426,1.4842235037149527,0.621934560374317,0.27589893157983947
34,1.015312568244771,1.5220506705789485,0.6212624228662915,0.27655248944130206
35,1.0180487839075236,1.5162177315125098,0.6220710744969865,0.2769669534909165
36,1.0131862340574591,1.491420426302486,0.622920827796826,0.27427557655251944
37,1.019332902553754,1.5009875929253733,0.6225567064606227,0.27612641405982846
38,1.0117778185850534,1.5086142730254393,0.6247099899710753,0.2736365645009483
39,1.0092721157349074,1.5044172644360452,0.6251570453755876,0.27267022305128413
40,1.0176497204945638,1.5161258449666521,0.6236814154773695,0.27480826665384644
41,1.019149263572489,1.4861051854160097,0.62138750225815,0.27615311176667356
42,1.0073566069969764,1.5283020979318864,0.6269141918318903,0.2716642494002978
43,1.0069690374737112,1.5117188196661127,0.6265080915047572,0.2710061283447804
44,1.0146564251592016,1.4923437138398488,0.6241295399446772,0.2741390593413614
45,1.0139682210154004,1.527579020613279,0.6239191519781055,0.27482994169824654
46,1.0161987716316159,1.5028577162923975,0.623071691674045,0.2746570460880414
47,1.0209492331641352,1.5056986486555164,0.622276229927173,0.2762008924037218
48,1.0247343099779553,1.502732331936176,0.622000366067275,0.27630833089829254
49,1.0285722589136188,1.5101560630604751,0.6194074308642974,0.279672873341757
50,1.0270002658805277,1.4817416521473827,0.6194198460150988,0.2785618519490091
